PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone
10000,5,1,5,46,1,3,1,1,510,60,120,770,90,0,0,0,0,NA,1,1,1,2,NA,8,2,2,2,2
10001,5,1,1,59,1,4,3,4,420,150,0,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
10002,4,2,1,47,1,5,1,6,570,0,0,630,30,480,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,1
10003,6,2,5,35,1,4,2,4,510,10,45,875,80,20,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10004,2,1,6,35,1,NA,1,3,525,90,40,815,0,0,0,0,0,NA,NA,NA,2,2,NA,1,2,2,2,2
10005,1,1,6,35,1,1,1,6,435,0,0,430,40,530,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
10006,1,1,6,35,1,1,4,2,635,60,50,650,0,0,0,0,0,NA,2,1,1,2,NA,3,NA,2,2,2
10007,5,2,3,59,1,4,5,3,440,30,160,1200,60,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10008,2,2,1,24,2,6,2,3,525,40,70,30,5,410,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10009,6,1,3,46,1,3,6,2,540,20,120,1060,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10010,3,2,1,11,3,6,2,4,480,50,20,10,10,441,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10011,2,2,6,35,1,3,1,6,630,60,20,235,65,475,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,2
10012,2,2,1,35,2,7,1,2,390,0,50,90,90,480,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2
10013,3,1,1,24,1,6,4,6,510,0,20,200,90,0,0,0,0,2,1,2,2,2,2,1,2,1,2,2
10014,2,2,1,35,1,4,2,6,500,75,45,270,150,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,1
10015,5,1,3,48,1,7,1,3,570,0,15,825,15,615,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10016,7,1,1,46,2,7,6,6,660,60,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10017,4,1,1,35,1,6,2,4,480,60,120,180,45,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2
10018,6,2,1,12,2,1,3,6,510,15,35,740,330,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2
10019,2,1,1,59,1,2,2,5,480,30,30,630,30,600,0,0,0,NA,NA,NA,1,1,NA,4,1,2,2,2
10020,7,2,3,59,1,1,3,6,360,10,90,615,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10021,5,2,1,12,1,6,6,1,660,0,50,640,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10022,3,1,2,35,1,5,3,5,480,30,45,1425,230,315,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10023,6,2,1,46,1,1,3,2,330,0,60,255,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10024,4,2,6,59,1,4,1,6,545,15,90,770,100,0,0,0,0,NA,1,1,1,2,NA,8,2,2,1,1
10025,2,1,6,24,1,4,4,6,660,240,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2
10026,2,2,2,24,1,3,1,4,480,60,0,80,0,495,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,2
10027,1,1,6,13,1,1,2,1,600,0,30,765,0,0,330,0,0,1,1,2,2,2,1,5,1,2,1,2
10028,7,1,1,12,1,6,4,1,655,0,80,210,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10029,5,2,1,35,1,6,3,2,450,50,70,610,0,0,0,0,0,NA,2,2,2,2,NA,3,2,2,1,2
10030,6,2,1,10,2,6,1,6,600,135,60,1005,15,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,1
10031,7,2,1,59,1,NA,6,1,495,0,135,1035,0,0,0,0,0,NA,NA,NA,2,2,NA,8,2,2,1,2
10032,2,1,6,47,1,4,1,3,450,30,61,891,40,549,0,0,0,NA,NA,NA,1,1,NA,7,1,2,2,2
10033,3,2,1,59,1,NA,2,4,420,75,45,385,70,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10034,3,2,1,35,1,3,1,6,390,105,30,185,125,525,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
10035,4,2,1,24,1,4,2,3,420,70,20,150,90,455,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10036,3,1,2,24,2,6,1,6,435,0,45,75,30,720,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10037,6,1,5,12,2,1,1,1,450,0,60,1350,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10038,6,2,1,13,2,6,4,5,540,105,115,295,10,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10039,3,1,1,59,1,6,1,6,530,0,20,415,65,0,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,1
10040,5,2,4,35,2,4,6,5,500,0,15,1290,120,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10041,3,2,1,35,1,5,3,4,540,0,75,390,0,0,0,0,0,NA,NA,1,1,2,NA,1,2,1,1,1
10042,2,2,2,24,1,6,2,3,665,25,40,540,10,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
10043,3,2,5,35,1,7,1,6,480,120,0,915,70,350,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1
10044,2,2,2,24,1,6,2,6,540,165,60,285,20,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,1
10045,3,1,1,35,1,2,1,3,420,110,0,640,30,0,0,490,0,1,2,1,1,2,1,1,2,2,1,2
10046,6,2,1,13,1,6,6,6,525,45,75,615,15,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
10047,7,1,1,46,2,3,3,2,510,80,0,90,60,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10048,6,1,4,35,1,2,2,2,270,45,105,385,0,0,0,0,0,NA,2,1,1,2,NA,4,2,1,2,1
10049,2,2,1,24,1,6,2,2,460,85,60,380,50,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10050,5,1,4,24,1,3,2,NA,630,240,55,1430,0,0,0,0,0,NA,1,2,2,2,NA,3,2,2,2,1
10051,4,2,1,48,1,6,1,6,760,15,25,290,0,320,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10052,5,2,1,24,1,2,2,2,430,190,60,200,0,0,0,0,0,NA,NA,2,2,2,NA,1,2,2,2,1
10053,4,2,1,10,1,6,1,6,600,105,35,310,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10054,1,2,6,12,1,6,2,3,670,45,30,940,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,1,2,2
10055,3,2,1,59,1,2,1,6,315,30,130,195,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,1
10056,2,2,1,24,1,6,1,6,415,0,40,500,0,480,0,0,0,NA,2,1,1,2,NA,1,2,2,2,1
10057,4,2,1,11,3,3,2,6,480,20,35,1170,65,475,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
10058,4,2,6,12,1,2,1,6,400,0,65,665,100,455,0,0,0,NA,NA,NA,1,1,NA,5,2,1,1,2
10059,1,2,6,13,1,6,2,5,770,20,45,490,0,0,0,0,0,1,2,1,1,2,1,1,2,1,1,1
10060,5,2,1,47,1,7,1,6,270,0,90,210,0,480,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1
10061,5,1,1,48,2,3,4,6,750,0,105,435,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,2
10062,3,2,1,35,1,7,2,6,390,0,30,180,90,0,0,0,0,NA,1,2,2,2,NA,7,2,2,2,1
10063,1,1,6,10,1,1,1,3,540,0,30,600,0,20,0,0,0,1,2,1,1,2,1,3,2,2,2,2
10064,2,1,2,24,1,3,3,4,615,25,60,0,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10065,2,2,1,13,1,6,2,6,420,60,210,85,0,0,0,0,0,NA,1,2,2,2,NA,5,2,2,2,2
10066,3,1,6,35,1,6,1,2,570,0,0,1260,0,0,570,0,0,1,2,2,2,2,1,1,2,2,2,1
10067,6,2,1,35,1,2,2,6,485,115,30,800,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,1
10068,2,2,6,13,2,4,3,2,660,80,60,150,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,1
10069,3,2,1,35,1,6,2,5,480,60,60,250,95,370,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,1
10070,5,2,1,35,1,2,6,6,600,60,80,670,90,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10071,6,2,3,13,1,6,5,2,510,10,120,995,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,NA,2
10072,5,2,1,59,1,2,2,5,450,45,30,15,105,510,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10073,7,2,1,24,1,2,1,3,590,45,225,20,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,1
10074,4,1,6,48,2,4,1,6,480,0,30,1120,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2
10075,7,2,3,35,1,2,3,1,630,30,50,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2
10076,4,2,5,35,1,4,1,1,630,0,0,1380,0,0,0,0,0,NA,2,2,2,2,NA,2,2,1,2,2
10077,5,1,5,24,1,1,4,6,505,130,45,1335,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10078,7,2,1,24,1,NA,6,6,900,0,120,0,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10079,6,2,3,11,3,1,6,2,720,60,65,1045,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2
10080,1,1,6,24,1,2,2,4,400,0,15,735,0,125,0,0,45,1,2,1,1,2,1,7,2,1,2,1
10081,6,2,5,48,1,3,5,6,525,90,40,900,25,510,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10082,2,2,1,35,1,4,1,6,495,45,75,315,0,0,0,0,0,NA,NA,NA,1,1,NA,7,1,2,2,2
10083,6,1,1,11,3,1,1,1,480,0,15,345,60,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10084,6,1,1,10,2,6,6,6,310,30,60,685,145,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10085,2,1,2,10,1,3,3,6,810,0,130,0,65,0,0,0,0,NA,1,2,2,2,NA,3,2,2,2,2
10086,3,2,1,35,1,4,2,6,530,75,70,955,50,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,2
10087,3,1,1,46,1,2,2,3,300,40,0,35,35,735,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,2
10088,1,1,6,47,2,3,2,3,435,0,60,495,135,735,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10089,6,2,1,24,1,7,4,6,480,35,160,370,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10090,2,1,6,35,2,4,2,4,555,0,120,600,60,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10091,3,2,1,24,1,NA,2,6,390,90,0,315,70,480,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10092,6,2,3,46,1,2,2,6,690,0,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10093,3,1,1,35,1,4,6,3,270,0,0,960,0,540,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2
10094,5,1,5,35,2,4,2,6,180,170,60,1350,100,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10095,2,2,1,46,1,NA,2,3,450,120,0,60,0,540,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2
10096,6,1,1,12,1,1,6,1,450,60,50,730,10,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10097,2,2,1,10,1,2,3,5,460,50,60,555,40,450,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10098,3,2,6,24,1,5,1,2,540,0,30,60,120,480,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1
10099,5,2,6,24,1,1,1,6,510,120,120,1170,60,0,0,0,0,NA,NA,NA,1,1,NA,7,2,1,2,2
10100,7,1,1,59,1,6,3,3,570,100,90,0,100,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10101,3,2,1,47,1,4,2,6,570,200,0,255,140,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,1
10102,5,1,1,13,1,6,1,6,690,0,105,405,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,1
10103,5,1,6,59,1,4,1,6,390,0,20,1440,0,1010,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2
10104,5,2,1,48,1,4,1,3,720,0,60,390,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1
10105,3,1,2,24,1,7,1,6,390,0,60,210,10,720,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,1
10106,4,1,6,59,1,7,2,3,630,0,90,1440,0,420,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10107,6,1,1,12,1,6,6,2,535,95,75,145,65,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10108,7,1,5,35,1,2,6,3,460,80,50,1440,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10109,4,2,1,35,1,2,1,4,500,75,20,260,105,320,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10110,3,2,6,35,1,6,2,6,420,270,0,0,0,0,0,0,0,1,2,1,1,2,1,3,2,2,1,1
10111,1,1,6,35,1,3,2,2,235,0,0,445,0,325,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2
10112,2,2,1,12,1,2,2,6,450,90,90,480,30,450,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10113,2,2,6,24,1,6,2,3,540,120,155,760,0,0,0,0,0,NA,2,1,1,2,NA,2,1,2,1,2
10114,2,1,2,48,1,1,1,3,405,0,30,150,120,690,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,2
10115,3,1,6,11,3,4,3,6,630,0,90,950,100,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2
10116,2,1,1,24,1,6,2,2,600,0,120,270,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
10117,5,1,6,48,1,2,1,3,540,90,60,1440,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10118,7,2,5,35,1,6,6,6,705,0,70,1440,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10119,4,2,1,35,1,NA,2,4,700,20,20,720,0,420,0,0,0,NA,NA,NA,2,2,NA,1,2,2,2,1
10120,1,2,6,35,1,2,2,2,570,60,0,870,60,0,0,0,240,1,1,2,2,2,1,3,1,2,2,2
10121,3,2,6,46,1,5,2,6,570,15,50,745,0,495,0,0,0,3,2,1,1,2,2,1,1,1,1,2
10122,3,2,6,35,1,7,4,6,595,40,175,720,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10123,6,2,1,35,1,2,3,2,500,100,10,220,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10124,4,2,6,35,1,1,6,3,540,120,0,890,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
10125,6,2,3,48,2,1,3,1,650,0,75,1050,150,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10126,7,1,1,11,3,1,5,6,465,0,105,20,0,0,0,0,0,NA,2,1,1,2,NA,8,1,2,1,2
10127,4,2,2,24,1,4,4,6,510,0,120,0,105,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10128,5,1,1,12,2,4,6,6,385,0,75,605,25,515,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10129,6,2,6,10,1,2,1,6,510,0,270,810,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10130,5,1,3,10,2,3,3,1,605,160,0,1355,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10131,5,1,3,35,2,1,3,3,480,155,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2
10132,4,2,5,24,1,4,1,3,610,0,15,630,0,510,0,0,0,NA,NA,NA,1,1,NA,2,1,1,2,2
10133,6,2,6,59,1,7,2,4,480,30,30,1170,135,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10134,3,2,1,24,1,4,1,4,395,0,50,320,200,75,0,0,0,NA,NA,NA,1,1,2,7,2,1,2,1
10135,4,1,6,35,1,1,3,5,480,0,30,1275,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2
10136,4,1,6,59,1,2,3,3,600,120,30,60,0,0,0,0,0,NA,2,2,2,2,NA,1,NA,NA,2,1
10137,1,1,6,48,1,1,3,1,600,0,0,0,0,0,0,0,0,NA,NA,1,1,2,NA,1,1,2,2,2
10138,2,1,2,13,1,7,6,6,360,30,75,165,0,815,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2
10139,3,2,1,35,1,4,2,3,800,0,140,200,300,0,0,0,0,NA,2,1,1,2,NA,3,2,2,2,2
10140,7,1,1,35,1,3,1,6,690,0,90,1040,50,0,0,0,0,NA,2,2,2,2,NA,8,1,2,1,2
10141,4,2,1,13,2,2,1,6,510,0,25,115,75,650,0,0,0,NA,NA,NA,1,1,NA,8,2,1,1,2
10142,4,1,1,35,1,3,1,2,450,0,20,925,25,810,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2
10143,5,2,2,24,2,3,2,4,40,15,45,495,0,445,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
10144,6,2,3,12,1,2,6,2,570,0,195,720,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10145,4,2,1,24,1,1,3,1,865,0,35,915,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10146,4,1,1,48,2,2,3,6,450,20,235,765,55,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10147,6,2,1,46,1,4,2,6,525,65,150,525,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10148,3,2,2,48,1,4,1,5,535,150,60,185,20,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,1
10149,6,2,3,35,1,1,5,2,630,60,0,1200,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10150,6,2,5,24,1,4,3,6,630,50,75,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,2
10151,3,2,1,24,1,2,NA,6,590,165,0,130,0,0,265,0,110,NA,2,2,2,2,1,1,NA,1,NA,NA
10152,7,2,3,59,1,2,6,6,600,150,30,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10153,5,1,2,35,1,NA,2,4,480,125,50,1390,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,1
10154,6,1,1,13,2,4,5,3,360,0,80,420,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10155,3,1,2,35,2,4,2,6,510,0,120,260,120,370,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1
10156,6,2,1,35,1,2,1,6,390,45,40,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10157,6,2,1,24,1,2,4,3,500,30,35,995,35,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10158,6,2,5,12,1,7,4,4,420,330,0,1220,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10159,3,1,2,59,1,4,2,6,480,60,30,65,30,595,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10160,5,1,1,12,1,1,6,2,450,95,0,465,85,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10161,3,1,6,35,1,7,1,6,540,0,180,1080,120,210,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
10162,2,1,6,59,1,2,2,4,440,10,10,590,65,475,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
10163,3,1,6,12,2,4,3,2,465,0,60,940,30,440,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
10164,5,1,1,24,1,6,1,6,600,45,175,180,40,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10165,5,2,3,35,1,5,2,6,560,120,10,1380,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10166,3,2,1,12,1,6,1,3,360,60,30,510,120,480,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2
10167,3,2,6,13,2,3,3,2,0,0,90,0,160,0,0,0,0,NA,NA,NA,1,1,2,4,2,2,1,2
10168,4,2,1,35,1,7,1,6,520,0,45,40,95,425,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
10169,7,2,3,48,2,1,4,1,825,45,75,1300,0,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,1
10170,6,1,3,11,3,3,6,2,635,30,40,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10171,5,1,1,24,1,2,2,6,520,0,115,1030,305,410,0,0,0,NA,NA,NA,1,1,NA,2,2,1,2,2
10172,5,2,1,11,3,5,4,6,400,60,110,115,25,710,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,1
10173,7,1,1,24,1,4,6,2,560,35,80,1255,50,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10174,7,1,4,24,2,1,6,6,480,90,0,1440,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10175,6,2,3,12,1,5,2,6,575,180,0,760,80,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10176,3,1,6,24,1,6,4,4,420,0,0,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2
10177,4,1,5,59,1,3,2,3,405,0,180,750,55,720,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,1
10178,2,2,1,35,1,6,1,6,540,165,0,0,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,1
10179,1,1,6,35,1,3,2,1,495,0,30,790,0,0,380,0,0,1,1,2,2,2,1,6,2,2,1,2
10180,6,2,3,11,3,1,6,3,360,135,20,1250,105,0,0,0,0,NA,2,1,1,2,NA,8,2,1,2,2
10181,3,1,1,48,2,4,2,6,695,150,55,150,210,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2
10182,4,2,1,13,1,2,3,5,420,0,50,30,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
10183,6,2,5,35,1,4,3,2,510,0,105,1170,95,135,0,0,0,NA,2,2,2,2,NA,2,2,2,2,2
10184,2,1,2,35,1,6,2,6,395,45,45,720,30,660,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2
10185,6,2,1,35,1,4,3,3,545,70,150,135,80,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2
10186,3,2,1,35,1,7,1,3,370,0,115,725,70,550,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,1
10187,2,2,1,59,1,5,1,6,480,0,35,100,35,605,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,1
10188,6,1,1,35,1,5,3,6,510,0,360,1440,0,570,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
10189,6,1,1,13,1,3,6,5,435,0,75,215,20,470,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
10190,4,1,6,47,1,3,4,6,560,120,0,1440,10,540,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,1
10191,1,1,6,10,1,1,3,4,660,40,0,960,0,0,0,0,0,1,1,2,2,2,1,1,2,2,1,2
10192,6,1,1,10,1,3,3,3,485,0,180,130,25,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10193,7,1,6,48,1,6,3,5,660,75,0,1440,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10194,4,2,6,59,1,1,2,2,530,10,20,950,45,420,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
10195,6,2,1,47,2,2,4,3,690,0,30,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10196,5,2,1,47,1,5,1,2,370,60,90,60,195,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10197,6,1,1,10,2,3,6,1,630,0,120,180,0,375,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
10198,2,1,2,35,1,5,1,6,420,0,120,110,0,545,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1
10199,4,1,1,10,2,3,2,4,420,150,60,120,35,0,0,0,0,NA,NA,2,2,2,NA,2,1,1,1,2
10200,4,2,5,35,1,7,1,4,360,50,30,550,105,435,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,NA
10201,5,2,2,24,1,6,2,6,570,0,90,1120,60,0,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
10202,3,2,1,10,2,5,1,6,625,120,75,440,60,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2
10203,2,1,6,35,1,7,4,1,600,0,15,815,0,480,0,0,0,NA,NA,NA,1,1,NA,5,2,2,1,2
10204,7,2,3,11,3,6,3,6,540,30,190,1185,65,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2
10205,1,1,6,10,2,2,3,6,600,70,30,425,60,0,205,0,0,1,2,1,1,2,1,7,2,2,2,2
10206,7,2,3,11,3,1,3,2,660,0,60,1410,30,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10207,5,2,1,13,2,1,1,6,365,90,65,735,75,330,0,0,0,NA,NA,NA,1,1,NA,8,1,1,1,2
10208,5,2,1,48,1,6,1,2,450,110,10,530,0,0,0,0,0,NA,2,2,2,2,NA,3,1,1,2,2
10209,6,1,1,35,1,3,6,2,510,0,40,400,325,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10210,2,1,6,13,1,4,4,2,510,10,20,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
10211,5,2,1,46,1,2,3,4,455,20,0,100,10,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10212,2,1,6,24,1,2,2,6,750,0,0,1280,10,0,0,0,0,NA,NA,NA,1,1,NA,6,2,1,1,1
10213,3,2,6,35,1,4,6,6,765,60,15,810,30,180,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,1
10214,5,1,2,24,2,2,1,6,450,0,15,690,20,750,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2
10215,6,2,1,48,2,4,4,6,480,20,160,0,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,1
10216,6,1,1,35,1,5,4,6,485,0,40,625,120,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10217,4,1,5,35,1,2,1,3,460,150,0,870,90,420,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10218,3,1,1,59,1,2,2,6,735,20,0,75,40,510,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,1
10219,6,1,1,12,2,2,4,1,600,90,0,135,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10220,2,2,6,47,1,6,2,3,480,0,0,1130,125,435,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2
10221,4,2,5,13,1,1,6,1,1070,30,10,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
